,ano,estado,idhm
147,2017,Pernambuco,0.722
148,2017,Alagoas,0.679
149,2017,Sergipe,0.699
150,2017,Bahia,0.71
151,2017,Minas Gerais,0.784
152,2017,Espírito Santo,0.78
153,2017,Rio de Janeiro,0.791
154,2017,São Paulo,0.831
155,2017,Paraná,0.797
156,2017,Santa Catarina,0.817
157,2017,Rio Grande do Sul,0.793
158,2017,Mato Grosso do Sul,0.762
159,2017,Mato Grosso,0.77
160,2017,Goiás,0.765
161,2017,Distrito Federal,0.842
162,2018,Rondônia,0.73
163,2018,Acre,0.733
164,2018,Amazonas,0.718
165,2018,Roraima,0.76
166,2018,Pará,0.707
167,2018,Amapá,0.741
168,2018,Tocantins,0.749
169,2018,Maranhão,0.686
170,2018,Piauí,0.699
171,2018,Ceará,0.739
172,2018,Rio Grande do Norte,0.739
173,2018,Paraíba,0.711
174,2018,Pernambuco,0.735
175,2018,Alagoas,0.689
176,2018,Sergipe,0.71
177,2018,Bahia,0.71
178,2018,Minas Gerais,0.784
179,2018,Espírito Santo,0.788
180,2018,Rio de Janeiro,0.805
181,2018,São Paulo,0.837
182,2018,Paraná,0.805
183,2018,Santa Catarina,0.819
184,2018,Rio Grande do Sul,0.797
185,2018,Mato Grosso do Sul,0.77
186,2018,Mato Grosso,0.778
187,2018,Goiás,0.771
188,2018,Distrito Federal,0.845
189,2019,Rondônia,0.73
190,2019,Acre,0.739
191,2019,Amazonas,0.726
192,2019,Roraima,0.749
193,2019,Pará,0.704
194,2019,Amapá,0.737
195,2019,Tocantins,0.751
196,2019,Maranhão,0.694
197,2019,Piauí,0.706
198,2019,Ceará,0.744
199,2019,Rio Grande do Norte,0.742
200,2019,Paraíba,0.713
201,2019,Pernambuco,0.74
202,2019,Alagoas,0.687
203,2019,Sergipe,0.705
204,2019,Bahia,0.718
205,2019,Minas Gerais,0.793
206,2019,Espírito Santo,0.793
207,2019,Rio de Janeiro,0.809
208,2019,São Paulo,0.845
209,2019,Paraná,0.807
210,2019,Santa Catarina,0.826
211,2019,Rio Grande do Sul,0.801
212,2019,Mato Grosso do Sul,0.777
213,2019,Mato Grosso,0.779
214,2019,Goiás,0.774
215,2019,Distrito Federal,0.859
216,2020,Rondônia,0.739
217,2020,Acre,0.746
218,2020,Amazonas,0.727
219,2020,Roraima,0.739
220,2020,Pará,0.719
221,2020,Amapá,0.724
222,2020,Tocantins,0.755
223,2020,Maranhão,0.699
224,2020,Piauí,0.708
225,2020,Ceará,0.755
226,2020,Rio Grande do Norte,0.75
227,2020,Paraíba,0.714
228,2020,Pernambuco,0.739
229,2020,Alagoas,0.694
230,2020,Sergipe,0.722
231,2020,Bahia,0.724
232,2020,Minas Gerais,0.789
233,2020,Espírito Santo,0.792
234,2020,Rio de Janeiro,0.785
235,2020,São Paulo,0.823
236,2020,Paraná,0.787
237,2020,Santa Catarina,0.803
238,2020,Rio Grande do Sul,0.78
239,2020,Mato Grosso do Sul,0.76
240,2020,Mato Grosso,0.756
241,2020,Goiás,0.758
242,2020,Distrito Federal,0.829
243,2021,Rondônia,0.7
244,2021,Acre,0.71
245,2021,Amazonas,0.7
246,2021,Roraima,0.699
247,2021,Pará,0.69
248,2021,Amapá,0.688
249,2021,Tocantins,0.731
250,2021,Maranhão,0.676
251,2021,Piauí,0.69
252,2021,Ceará,0.734
253,2021,Rio Grande do Norte,0.728
254,2021,Paraíba,0.698
255,2021,Pernambuco,0.719
256,2021,Alagoas,0.684
257,2021,Sergipe,0.702
258,2021,Bahia,0.691
259,2021,Minas Gerais,0.774
260,2021,Espírito Santo,0.771
261,2021,Rio de Janeiro,0.762
262,2021,São Paulo,0.806
263,2021,Paraná,0.769
264,2021,Santa Catarina,0.792
265,2021,Rio Grande do Sul,0.771
266,2021,Mato Grosso do Sul,0.742
267,2021,Mato Grosso,0.736
268,2021,Goiás,0.737
269,2021,Distrito Federal,0.814
